Antibody,Virus,IC50,IC80,ID50
10-1074,0815_V3_C3,0.025,0.172,
10-1074,0815_V3_C3,0.008,0.072,
10-1074,0815_V3_C3,0.03,0.138,
10-1074,0815_V3_C3,0.023,,
10-1074,093_AT_SGA1,0.006,,
10-1074,093_BT_SGA13,0.001,,
10-1074,093_BT_SGA3,0.010,,
10-1074,093_LN_SGA6,0.010,,
10-1074,093_LN_SGA8,0.010,,
10-1074,093_LN_SGA9,0.010,,
10-1074,093_PBMC_SGA14,0.010,,
10-1074,093_PBMC_SGA4,0.010,,
10-1074,093_TF_SGA17,0.010,,
10-1074,0984_V2_C2,0.954,,
10-1074,0984_V2_C2,0.954,5.375,
10-1074,09GX268_E332N_N334S,5.875,,
10-1074,09GX285_E332N_N334S,0.288,,
10-1074,09GX319_F330H_E332N_N334S,0.267,,
10-1074,09GX332_E332N_N334S,0.177,,
10-1074,1006_11_C3_1601,0.001,,
10-1074,1006_11_C3_1601,0.003,,
10-1074,1006_11_C3_1601,0.002,0.006,
10-1074,1006_11_C3_1601,0.001,0.011,
10-1074,1006_11_C3_1601,0.003,0.013,
10-1074,1012_11_TC21_3257,0.023,,
10-1074,1012_11_TC21_3257,0.008,,
10-1074,1012_11_TC21_3257,0.011,0.047,
10-1074,1012_11_TC21_3257,0.009,0.062,
10-1074,1012_11_TC21_3257,0.008,0.059,
10-1074,102_AT_SGA1,0.004,,
10-1074,102_AT_SGA5,0.001,,
10-1074,102_BT_SGA6,0.001,,
10-1074,1054_07_TC4_1499,0.113,,
10-1074,1054_07_TC4_1499,0.129,,
10-1074,1054_07_TC4_1499,0.048,0.222,
10-1074,1054_07_TC4_1499,0.108,0.455,
10-1074,1054_07_TC4_1499,0.129,0.563,
10-1074,1056_10_TA11_1826,0.072,,
10-1074,1056_10_TA11_1826,0.038,,
10-1074,1056_10_TA11_1826,0.038,0.168,
10-1074,1056_10_TA11_1826,0.063,0.27,
10-1074,1056_10_TA11_1826,0.038,0.272,
10-1074,106_1_C_1_2,0.05,,
10-1074,106_1_C_2_8,0.054,,
10-1074,106_1_C_2_9,0.005,,
10-1074,106_1_C_5_10,0.003,,
10-1074,106_1_C_E3,0.001,,
10-1074,1107356_07,0.103,,
10-1074,1107356_07,0.103,0.392,
10-1074,1143465_14,0.298,,
10-1074,1143465_14,0.298,1.541,
10-1074,126652V01_EC3,1.18,,
10-1074,126652V01_EC4,3.56,,
10-1074,126652V01_EC5,5.43,,
10-1074,126652V01_EC6,4.87,,
10-1074,1394_C9G1,0.038,,
10-1074,1394_C9G1,0.031,,
10-1074,1394_C9G1,0.05,,
10-1074,1394_C9G1,0.031,0.093,
10-1074,1394_C9G1,0.021,0.114,
10-1074,1394_C9G1,0.05,0.191,
10-1074,1394_C9G1,0.031,0.093,
10-1074,1536_BL_E11_4,0.052,0.506,
10-1074,1536_BL_E5_3,0.238,0.86,
10-1074,1536_BL_E6_1,0.21,1.074,
10-1074,1536_BL_G9_4,0.03,0.196,
10-1074,1536_V15_D11_4,0.098,0.568,
10-1074,1536_V15_D6_1,0.123,0.752,
10-1074,1536_V16_B6_1,0.103,0.682,
10-1074,155_1_C_F12,5.397,,
10-1074,155_2_C_AS_6,2.547,,
10-1074,15JS01_E332N_N334S,0.062,,
10-1074,15JS07_E332N_N334S,0.033,,
10-1074,15JS47_E332N_N334S,0.240,,
10-1074,15JS48_Y330H_E332N_N334S,2.214,,
10-1074,15JS65_E332N_N334S,0.134,,
10-1074,15JS76_E332N_N334S,0.365,,
10-1074,15JS79_E332N_N334S,1.091,,
10-1074,16845_2_22,0.318,,
10-1074,16845_2_22,1.93,,
10-1074,16845_2_22,0.986,3.437,
10-1074,16845_2_22,0.318,,
10-1074,16845_2_22,1.169,,
10-1074,16845_2_22,0.828,2.07,
10-1074,16845_2_22,0.727,3.930,
10-1074,16845_2_22,0.318,,
10-1074,16845_2_22,1.32,7.27,
10-1074,16845_2_22,0.318,2.2,
10-1074,16845_2_22,1.169,5.835,
10-1074,16936_2_21,0.0003,,
10-1074,16936_2_21,0.0003,,
10-1074,16936_2_21,0.008,0.022,
10-1074,16936_2_21,0.003,,
10-1074,16936_2_21,0.003,0.019,
10-1074,1811_B3_23,0.036,,
10-1074,1811_B3_23,0.036,0.103,
10-1074,186_AT_SGA1,0.048,,
10-1074,186_AT_SGA5,0.060,,
10-1074,186_TF_SGA9,0.140,,
10-1074,18814602_H8_F3,0.006,,
10-1074,18814602_H8_F3,0.006,0.015,
10-1074,191084_B7_19,0.057,,
10-1074,191084_B7_19,0.032,,
10-1074,191084_B7_19,0.026,0.108,
10-1074,191084_B7_19,0.027,0.131,
10-1074,191084_B7_19,0.032,0.128,
10-1074,191084_B7_19,0.032,0.128,
10-1074,19157834_V1,0.019,,
10-1074,19157834_V1,0.019,0.061,
10-1074,191647,0.025,0.094,
10-1074,191727_F6,14.64,>50,
10-1074,191845_B11,0.012,0.031,
10-1074,191859,0.277,0.776,
10-1074,191882,0.239,0.835,
10-1074,19252094_A5_G2,0.033,,
10-1074,19252094_A5_G2,0.033,0.12,
10-1074,19715820_A10_H2,0.095,,
10-1074,19715820_A10_H2,0.095,0.242,
10-1074,199_1_C_AA_4,0.137,,
10-1074,199_1_C_AE_5,0.098,,
10-1074,199_1_C_AG_1,0.117,,
10-1074,199_1_C_AG_7,0.055,,
10-1074,1HB1_D0_012016_B4_S3,0.005,0.024,
10-1074,1HB1_D0_012016_C7_S6,0.002,0.015,
10-1074,1HB1_D0_012016_F10_S11,0.008,0.037,
10-1074,1HB1_D0_012216_B2_S21,0.008,0.033,
10-1074,1HB1_D0_012216_G6_S32,0.004,0.014,
10-1074,1HB2_D0_102315_C3_S1,0.014,0.029,
10-1074,1HB2_D0_102315_C7_S2,0.009,0.026,
10-1074,1HB2_D0_102615_B11_S13,0.007,0.03,
10-1074,1HB2_D0_102615_C8_S18,0.012,0.024,
10-1074,1HB2_D0_102615_E9_S22,0.013,0.026,
10-1074,1HB3_D0_102315_G10_S34,0.041,0.115,
10-1074,1HB3_D0_102915_B2_S49,0.011,0.048,
10-1074,1HB3_D0_102915_B6_S51,0.032,0.16,
10-1074,1HB3_D0_102915_C7_S56,0.028,0.098,
10-1074,1HC1_D0_061516_A1_S68,0.305,1.104,
10-1074,1HC1_D0_061516_C4_S70,0.286,1.371,
10-1074,1HC1_D0_061616_G4_S15,0.337,1.179,
10-1074,1HC1_D0_070516_F10_S90,0.242,0.797,
10-1074,1HC1_D0_070516_F11_S91,0.878,10.007,
10-1074,1HC1_W4_070516PL2_G5_S11,0.557,1.498,
10-1074,1HC1_W4_071216_D3_S66,0.446,1.481,
10-1074,1HC2_D0_012016_A5_S39,0.104,0.494,
10-1074,1HC2_D0_012016_F5_S52,0.1,0.257,
10-1074,1HC2_D0_012216_C11_S66,0.023,0.068,
