Antibody,Virus,IC50,IC80,ID50
PG16,ADA,0.01,,
PG16,ADA,0.01,,
PG16,ADA,0.023,,
PG16,ADA,0.023,0.458,
PG16,ADA,0.023,,
PG16,ADA,0.012,,
PG16,ADA,0.023,0.458,
PG16,ADA,0.000015,,
PG16,ADA,0.023,0.458,
PG16,ADA,0.01,>50,
PG16,AIIMS704_70401,8.98,,
PG16,AIIMS704_70402,5.09,,
PG16,AIIMS704_70403,5.78,,
PG16,AIIMS704_70405,5.43,,
PG16,AIIMS704_70406,6.66,,
PG16,AIIMS704_70408,5.68,,
PG16,AIIMS704_70414,7.12,,
PG16,AIIMS704_70421,8.54,,
PG16,AIIMS706_70604B,0.781,,
PG16,AIIMS706_70606A,9.91,,
PG16,AIIMS706_70606B,6.65,,
PG16,AIIMS706_70606F,5.08,,
PG16,AIIMS706_70606Z,6.67,,
PG16,AIIMS706_70607A,9.98,,
PG16,AIIMS706_70607B,5.53,,
PG16,AIIMS706_70607C,6.78,,
PG16,AIIMS706_70607F,7.71,,
PG16,AIIMS709_70912B,9.98,,
PG16,AIIMS709_70915B,6.67,,
PG16,AIIMS709_70931B,5.45,,
PG16,AIIMS709_70936B,6.68,,
PG16,AIIMS731_73105B,0.077,,
PG16,AIIMS731_73105C,0.102,,
PG16,AIIMS731_73105D,0.092,,
PG16,AIIMS731_73105E,0.124,,
PG16,AIIMS731_73105H,3.562,,
PG16,AIIMS731_73106F,4.246,,
PG16,AIIMS743_74311C,7.89,,
PG16,AIIMS743_74311G,5.09,,
PG16,AIIMS743_74311K,6.89,,
PG16,AIIMS743_74311N,8.74,,
PG16,AMC009_1B5,0.25,,
PG16,APV_17,24.78,,
PG16,APV_6,0.29,,
PG16,B001_ENV02,0.50,,
PG16,B001_ENV06,5.99,,
PG16,B003_ENV06,0.05,,
PG16,B007_ENV01,0.04,,
PG16,B007_ENV06,0.02,,
PG16,B008_ENV05,0.36,,
PG16,B013_ENV02,0.11,,
PG16,B015_ENV04,4.01,,
PG16,B016_ENV01,0.58,,
PG16,B019_ENV02,8.63,,
PG16,B021_ENV03,10.24,,
PG16,B023_ENV09,1.21,,
PG16,B024_ENV01,1.32,,
PG16,B026_ENV05,1.81,,
PG16,B027_ENV01,6.06,,
PG16,B027_ENV08,3.95,,
PG16,B03,1.27,,
PG16,B030_ENV09,0.69,,
PG16,B033_ENV02,0.02,,
PG16,B036_ENV13,5.00,,
PG16,B037_ENV02,23.12,,
PG16,B039_ENV02,0.05,,
PG16,B41_9032_08_A1,0.01,,
PG16,BAL_01,8,,
PG16,BAL_01,8,>50,
PG16,BAL_01,8,,
PG16,BAL_01,0.993,,
PG16,BAL_01,8,>50,
PG16,BAL_01,8,>50,
PG16,BAL_26,0.163,,
PG16,BAL_26,0.405,,
PG16,BAL_26,0.405,,
PG16,BAL_26,0.136,,
PG16,BAL_26,0.136,>50,
PG16,BAL_26,13.52303,,
PG16,BAL_26,0.136,,
PG16,BAL_26,0.131,,
PG16,BAL_26,0.136,>50,
PG16,BAL_26,0.136,>50,
PG16,BAL_26,0.405,>50,
PG16,BAL_26,13.5,,
PG16,BAL_26,9.44,,
PG16,BB201_B42,0.001,,
PG16,BB201_B42,0.001,,
PG16,BB201_B42,0.003,,
PG16,BB201_B42,0.003,0.008,
PG16,BB201_B42,0.003,,
PG16,BB201_B42,0.002,,
PG16,BB201_B42,0.003,0.008,
PG16,BB201_B42,0.003,0.008,
PG16,BB201_B42,0.001,0.005,
PG16,BB539_2B13,0.007,,
PG16,BB539_2B13,0.007,,
PG16,BB539_2B13,0.012,,
PG16,BB539_2B13,0.012,0.062,
PG16,BB539_2B13,0.012,,
PG16,BB539_2B13,0.012,,
PG16,BB539_2B13,0.012,0.062,
PG16,BB539_2B13,0.012,0.062,
PG16,BB539_2B13,0.007,0.025,
PG16,BC01,0.1,,
PG16,BC02,4,,
PG16,BC03,0.19,,
PG16,BC04,0.8,,
PG16,BC05,0.11,,
PG16,BC06,6.88,,
PG16,BC07,0.04,,
PG16,BC08,5.1,,
PG16,BC09,0.16,,
PG16,BC10,5.14,,
PG16,BC11,0.08,,
PG16,BC12,3.72,,
PG16,BC13,0.12,,
PG16,BC14,7.01,,
PG16,BC15,0.16,,
PG16,BC16,2.37,,
PG16,BC17,0.05,,
PG16,BC18,7.21,,
PG16,BCF02,6.1,,
PG16,BCF02,6.1,,
PG16,BF1266_431A,0.003,,
PG16,BF1266_431A,0.003,,
PG16,BF1266_431A,0.0023,,
PG16,BF591,0.03,,
PG16,BF703,0.03,,
PG16,BF942_218D,0.03,,
PG16,BG505_DELTA_CT_T332N,0.01,,
PG16,BG505_W6M_A5_T332N,0.0604,,
PG16,BG505_W6M_C2,0.007,,
PG16,BG505_W6M_C2,0.015,,
PG16,BG505_W6M_C2,0.00005,,
PG16,BG505_W6M_C2_T332N,0.02,,
PG16,BG505_W6M_C2_T332N,0.06039633,,
PG16,BG505_W6M_C2_T332N,0.008,,
PG16,BG505_W6M_C2_T332N,0.01,,
PG16,BG505_W6M_C2_Y173A_Y177A,0.615,,
PG16,BI369_9A,0.004,,
PG16,BI369_9A,0.004,,
PG16,BI369_9A,0.007,,
PG16,BI369_9A,0.007,0.037,
PG16,BI369_9A,0.007,,
PG16,BI369_9A,0.01,,
PG16,BI369_9A,0.007,0.037,
PG16,BI369_9A,0.007,0.037,
PG16,BI369_9A,0.004,0.022,
PG16,BJ175_4,3.12,,
PG16,BJ17A_6,2.5,,
PG16,BJ22_5,0.06,,
PG16,BJ23_1,7.26,,
PG16,BJ24_3,0.02,,
PG16,BJ28_13,2.4,,
PG16,BJ3_4,1.5,,
PG16,BJ5_11,2.21,,
PG16,BJ6_17,1.82,,
PG16,BJOX002000_03_2,4.88,,
PG16,BJOX002000_03_2,0.01,,
PG16,BJOX009000_02_4,1.188,,
PG16,BJOX009000_02_4,4.88,,
PG16,BJOX009000_02_4,13.4,,
PG16,BJOX009000_02_4,1.188,,
PG16,BJOX009000_02_4,0.18,,
PG16,BJOX009000_02_4,4.88,>50,
PG16,BJOX010000_06_2,1.202,,
PG16,BJOX010000_06_2,13.4,,
PG16,BJOX010000_06_2,1.202,,
PG16,BJOX010000_06_2,0.026,,
PG16,BJOX010000_06_2,13.4,>50,
PG16,BJOX015000_11_5,3.129,,
PG16,BJOX015000_11_5,3.129,,
PG16,BJOX015000_11_5,0.54,,
PG16,BJOX019000_02_1,0.0812,,
PG16,BJOX025000_01_1,0.071,,
PG16,BJOX025000_01_1,0.431,,
PG16,BJOX025000_01_1,0.431,,
PG16,BJOX025000_01_1,0.071,,
PG16,BJOX025000_01_1,0.27,,
PG16,BJOX025000_01_1,0.431,>50,
PG16,BJOX028000_10_3,14.9,,
PG16,BJOX028000_10_3,14.9,,
PG16,BJOX028000_10_3,1.2,,
PG16,BJOX028000_10_3,14.9,>50,
PG16,BJOX029000_03_1,0.102,,
PG16,BJX4_6,3.45,,
PG16,BJYA105_5,2.11,,
PG16,BJYA109_9,0.01,,
PG16,BS208_B1,0.001,,
PG16,BS208_B1,0.001,,
PG16,BS208_B1,0.004,,
PG16,BS208_B1,0.004,0.012,
PG16,BS208_B1,0.004,,
PG16,BS208_B1,0.003,,
PG16,BS208_B1,0.004,0.012,
PG16,BS208_B1,0.004,0.012,
PG16,BS208_B1,0.003,,
PG16,BS208_B1,0.001,0.005,
PG16,BX08_16,0.01,,
PG16,BX08_16,0.01,,
PG16,BX08_16,0.062,,
PG16,BX08_16,0.062,38.8,
PG16,BX08_16,0.062,38.8,
PG16,BX08_16,0.062,38.8,
PG16,BX08_16,0.01,25,
PG16,C1080_C3,0.001,,
PG16,C1080_C3,0.0003,,
PG16,C1080_C3,0.0003,,
PG16,C1080_C3,0.001,,
PG16,C1080_C3,0.001,,
PG16,C1080_C3,0.001,0.004,
PG16,C1080_C3,0.001,,
PG16,C1080_C3,0.001,0.004,
PG16,C1080_C3,0.00014,,
PG16,C1080_C3,0.001,0.004,
PG16,C1080_C3,0.0005,,
PG16,C2101_C1,0.012,,
PG16,C2101_C1,0.006,,
PG16,C2101_C1,0.006,,
PG16,C2101_C1,0.012,,
PG16,C2101_C1,0.009,,
PG16,C2101_C1,0.009,0.069,
PG16,C2101_C1,0.009,0.069,
PG16,C2101_C1,0.009,0.069,
PG16,C2101_C1,0.006,0.3,
PG16,C3347_C11,0.008,,
PG16,C3347_C11,0.008,,
PG16,C3347_C11,0.005,,
PG16,C3347_C11,0.005,,
PG16,C3347_C11,0.008,,
PG16,C3347_C11,0.006,,
PG16,C3347_C11,0.006,0.031,
PG16,C3347_C11,0.006,0.031,
PG16,C3347_C11,0.0014,,
PG16,C3347_C11,0.006,0.031,
PG16,C3347_C11,0.005,0.028,
PG16,C4118_9,0.022,,
PG16,C4118_9,0.019,,
PG16,C4118_9,0.019,,
PG16,C4118_9,0.022,,
PG16,C4118_9,0.021,,
PG16,C4118_9,0.021,0.24,
PG16,C4118_9,0.021,0.24,
PG16,C4118_9,0.0069,,
PG16,C4118_9,0.021,0.24,
PG16,C4118_9,0.019,0.196,
PG16,CAAN5342,1.831,,
PG16,CAAN5342,11,,
PG16,CAAN5342,11,,
PG16,CAAN5342,1.831,,
PG16,CAAN5342,7.43,,
PG16,CAAN5342,7.43,>50,
PG16,CAAN5342,9.22,,
PG16,CAAN5342,7.43,,
PG16,CAAN5342,25,,
PG16,CAAN5342,7.43,>50,
PG16,CAAN5342,12,,
PG16,CAAN5342,7.43,>50,
PG16,CAAN5342,11,>50,
PG16,CAAN5342,8.83,,
PG16,CAP210_E8,0.01,,
PG16,CAP210_E8,0.023,,
PG16,CAP210_E8,0.023,,
PG16,CAP210_E8,0.01,,
PG16,CAP210_E8,0.021,0.882,
PG16,CAP210_E8,0.023,,
PG16,CAP210_E8,0.021,,
PG16,CAP210_E8,0.023,0.882,
PG16,CAP210_E8,0.049,,
PG16,CAP210_E8,0.013,,
PG16,CAP210_E8,0.023,0.736,
PG16,CAP244_D3,0.009,,
PG16,CAP244_D3,0.009,,
PG16,CAP244_D3,0.01,,
PG16,CAP244_D3,0.023,,
PG16,CAP244_D3,0.014,,
PG16,CAP244_D3,0.023,0.058,
PG16,CAP244_D3,0.009,0.037,
PG16,CAP45_G3,0.004,,
PG16,CAP45_G3,0.001,,
PG16,CAP45_G3,0.0007,,
PG16,CAP45_G3,0.0007,,
PG16,CAP45_G3,0.001,,
PG16,CAP45_G3,0.002,0.007,
PG16,CAP45_G3,0.001,,
PG16,CAP45_G3,0.001,,
PG16,CAP45_G3,0.023,,
PG16,CAP45_G3,0.002,,
PG16,CAP45_G3,0.023,0.023,
PG16,CAP45_G3,0.0021,,
PG16,CAP45_G3,0.00011,,
PG16,CAP45_G3,0.001,0.002,
PG16,CAP45_G3,0.0008,,
PG16,CE0393_C3,0.002,,
PG16,CE0393_C3,0.002,,
PG16,CE0682_E4,0.026,,
PG16,CE0682_E4,0.026,,
PG16,CE1172_H1,0.007,,
PG16,CE1172_H1,0.007,,
PG16,CE1172_H1,0.0080,,
PG16,CE1176_A3,0.003,,
PG16,CE1176_A3,0.003,,
PG16,CE1176_A3,0.003,,
PG16,CE1176_A3,0.001,0.024,
PG16,CE1176_A3,0.0093,,
PG16,CE2060_G9,0.075,,
PG16,CE2060_G9,0.075,,
PG16,CE2060_G9,0.58,,
PG16,CH038_12,5.58,,
PG16,CH038_12,5.58,,
PG16,CH038_12,49,,
PG16,CH038_12,49,>50,
PG16,CH038_12,49,>50,
PG16,CH038_12,49,>50,
PG16,CH038_12,5.58,>50,
PG16,CH070_1,0.002,,
PG16,CH070_1,0.002,,
PG16,CH070_1,0.002,,
PG16,CH070_1,0.002,0.013,
PG16,CH070_1,0.002,0.013,
PG16,CH070_1,0.002,0.013,
PG16,CH070_1,0.002,0.008,
PG16,CH117_4,0.004,,
PG16,CH117_4,0.004,,
PG16,CH117_4,0.005,,
PG16,CH117_4,0.005,0.028,
PG16,CH117_4,0.005,0.028,
PG16,CH117_4,0.005,0.028,
PG16,CH117_4,0.004,0.029,
PG16,CH119_10,0.4,,
PG16,CH119_10,0.53,5.19,
PG16,CH120_6,27,>50,
PG16,CH181_12,0.0008,,
PG16,CH181_12,0.0008,,
PG16,CH181_12,0.002,,
PG16,CH181_12,0.002,0.01,
PG16,CH181_12,0.002,0.01,
PG16,CH181_12,0.002,0.01,
PG16,CH181_12,0.001,0.003,
PG16,CH505_TF,0.09,,
PG16,CH505_TF_DELGLY3_197,0.05,,
PG16,CH505_TF_DELGLY3_276,0.1,,
PG16,CH505_TF_DELGLY3_461,0.1,,
PG16,CH505_TF_DELGLY4,0.1,,
PG16,CH505_TF_G458Y,0.03,,
PG16,CH505_TF_N279K,0.03,,
PG16,CH505_TF_N279K_G458Y,0.035,,
PG16,CH505_TF_N279K_N280D_G458Y,0.03,,
PG16,CH505_W4_3,0.03,,
PG16,CM235_2,0.01,,
PG16,CM244_90TH,0.36,,
PG16,CM244_EC1,0.0009,,
PG16,CM244_EC1,0.0009,,
PG16,CM244_EC1,0.005,,
PG16,CM244_EC1,0.001,0.003,
PG16,CM244_EC1_H173A_Y177A,0.135,,
PG16,CMU02,43.6,,
PG16,CMU02,43.63,,
PG16,CNE10,9.17,,
PG16,CNE10,9.17,>50,
PG16,CNE10,9.17,>50,
PG16,CNE10,9.17,>50,
PG16,CNE10,24.399,,
PG16,CNE11,2.757,,
PG16,CNE15,0.001,,
PG16,CNE15,0.001,,
PG16,CNE15,0.023,0.023,
PG16,CNE15,0.001,0.006,
PG16,CNE15,0.001,,
PG16,CNE16,0.01,,
PG16,CNE17,0.029,,
PG16,CNE17,0.029,,
PG16,CNE17,0.066,,
PG16,CNE17,0.036,,
PG16,CNE19,0.024,,
PG16,CNE19,0.035,,
PG16,CNE19,0.035,,
PG16,CNE19,0.024,,
PG16,CNE19,0.033,,
PG16,CNE19,0.035,1.98,
PG16,CNE19,0.008,,
PG16,CNE20,3.633,,
PG16,CNE20,3.22,,
PG16,CNE20,3.22,,
PG16,CNE20,3.633,,
PG16,CNE20,15,,
PG16,CNE20,3.22,>50,
PG16,CNE20,10.746,,
PG16,CNE21,0.007,,
PG16,CNE21,0.12,,
PG16,CNE21,0.12,,
PG16,CNE21,0.007,,
PG16,CNE21,0.066,,
PG16,CNE21,0.12,20.2,
PG16,CNE3,0.059,,
PG16,CNE3,0.059,,
PG16,CNE3,0.173,,
PG16,CNE3,0.173,>50,
PG16,CNE3,0.12,,
PG16,CNE3,0.173,>50,
PG16,CNE3,0.173,>50,
PG16,CNE3,0.059,>50,
PG16,CNE3,0.438,,
PG16,CNE31,3.19,,
PG16,CNE31,3.19,,
PG16,CNE31,2.51,,
PG16,CNE31,2.51,>50,
PG16,CNE31,2.51,>50,
PG16,CNE31,2.51,>50,
PG16,CNE31,3.19,>50,
PG16,CNE40,6.93,,
PG16,CNE40,6.93,,
PG16,CNE40,49,,
PG16,CNE40,49,>50,
PG16,CNE40,11.69262,,
PG16,CNE40,49,>50,
PG16,CNE40,49,>50,
PG16,CNE40,6.93,>50,
PG16,CNE40,11.7,,
PG16,CNE40,14.612,,
PG16,CNE47,0.125,,
PG16,CNE49,0.016,,
PG16,CNE5,0.008,,
PG16,CNE5,0.003,,
PG16,CNE5,0.003,,
PG16,CNE5,0.008,,
PG16,CNE5,0.008,0.033,
PG16,CNE5,0.1754855,,
PG16,CNE5,0.023,0.023,
PG16,CNE5,0.0035,,
PG16,CNE5,0.003,0.028,
PG16,CNE5,0.175,,
PG16,CNE5,0.004,,
PG16,CNE52,0.009,,
PG16,CNE52,0.009,,
PG16,CNE52,0.0079,,
PG16,CNE55,1.006,,
PG16,CNE55,0.588,,
PG16,CNE55,0.588,,
PG16,CNE55,1.37,,
PG16,CNE55,0.5,,
PG16,CNE55,1.37,>50,
PG16,CNE55,1.37,>50,
PG16,CNE55,1.37,>50,
PG16,CNE55,0.588,>50,
PG16,CNE55,0.514,,
PG16,CNE55,0.552,,
PG16,CNE55,1.29,91.36,
PG16,CNE58,0.044,,
PG16,CNE58,0.004,,
PG16,CNE58,0.004,,
PG16,CNE58,0.044,,
PG16,CNE58,0.023,0.023,
PG16,CNE58,0.0044,,
PG16,CNE58,0.004,0.019,
PG16,CNE58,0.007,,
PG16,CNE59,0.028,,
PG16,CNE59,0.028,,
PG16,CNE59,0.113,,
PG16,CNE59,0.113,>50,
PG16,CNE59,4.569769,,
PG16,CNE59,0.113,>50,
PG16,CNE59,0.113,>50,
PG16,CNE59,0.028,4.46,
PG16,CNE59,4.57,,
PG16,CNE59,0.109,,
PG16,CNE6,1.957,,
PG16,CNE64,3.052,,
PG16,CNE65,0.017,,
PG16,CNE66,0.068,,
PG16,CNE68,0.02,,
PG16,CNE7,0.148,,
PG16,CNE7,0.148,,
PG16,CNE7,0.393,,
PG16,CNE7,0.393,1.91,
PG16,CNE7,0.393,1.91,
PG16,CNE7,0.393,1.91,
PG16,CNE7,0.148,1.75,
PG16,CNE7,0.369,,
PG16,CNE8,0.675,,
PG16,CNE8,0.675,,
PG16,CNE8,0.5,,
PG16,CNE8,4.0,,
PG16,CNE8,0.675,>50,
PG16,CNE8,0.5,21.17,
PG16,CNXJ0031_3,4.14,,
PG16,CNXJ0031_9,12.36,,
PG16,CNXJ0651_1,1.4,,
PG16,CNXJ0651_10,0.49,,
PG16,CNXJ0651_6,0.39,,
PG16,CNXJ09277_7,0.3,,
PG16,CNXJ1081_10,1.06,,
PG16,CON_M_SLIEPEN2019,0.005,,
PG16,CON_S_LIAO2006,0.02,,
PG16,DH12,0.32,,
PG16,DJ131,1.4,,
PG16,DJ263_8,0.042,,
PG16,DJ263_8,0.042,,
PG16,DJ263_8,0.048,,
PG16,DJ263_8,0.048,1.11,
PG16,DJ263_8,0.048,,
PG16,DJ263_8,8.21,,
PG16,DJ263_8,0.048,1.11,
PG16,DJ263_8,0.048,1.11,
PG16,DJ263_8,0.185,,
PG16,DJ263_8,0.042,8.99,
PG16,DU123_06,0.01,,
PG16,DU123_06,0.01,,
PG16,DU123_06,0.016,0.168,
PG16,DU123_06,0.023,,
PG16,DU123_06,0.016,,
PG16,DU123_06,0.023,0.163,
PG16,DU123_06,0.022,,
PG16,DU123_06,0.01,0.064,
PG16,DU151_02,0.002,,
PG16,DU151_02,0.002,,
PG16,DU151_02,0.004,0.016,
PG16,DU151_02,0.023,,
PG16,DU151_02,0.004,,
PG16,DU151_02,0.023,0.023,
PG16,DU151_02,0.002,0.007,
PG16,DU156_12,0.006,,
PG16,DU156_12,0.003,,
PG16,DU156_12,0.003,,
PG16,DU156_12,0.006,,
PG16,DU156_12,0.003,,
PG16,DU156_12,0.6458159,,
PG16,DU156_12,0.023,,
PG16,DU156_12,0.002,,
PG16,DU156_12,0.023,0.023,
PG16,DU156_12,0.0062,,
PG16,DU156_12,0.0019,,
PG16,DU156_12,0.003,0.016,
PG16,DU156_12,0.646,,
PG16,DU172_17,0.03,0.1414,
PG16,DU172_17,0.033,,
PG16,DU172_17,0.015,,
PG16,DU172_17,0.015,,
PG16,DU172_17,0.033,,
PG16,DU172_17,0.03,,
PG16,DU172_17,0.03,0.134,
PG16,DU172_17,0.03,,
PG16,DU172_17,0.023,,
PG16,DU172_17,0.03,0.134,
PG16,DU172_17,0.023,,
PG16,DU172_17,0.041,,
PG16,DU172_17,0.03,0.134,
PG16,DU172_17,0.015,0.08,
PG16,DU172_17,0.574,,
PG16,DU422_1,0.261,,
PG16,DU422_1,0.261,,
PG16,DU422_1,0.04,,
PG16,DU422_1,0.023,,
PG16,DU422_1,0.042,,
PG16,DU422_1,0.023,49.9,
PG16,DU422_1,0.001,,
PG16,DU422_1,0.487,,
PG16,ELI,0.088,,
PG16,EN3D071,0.3081,,
PG16,FE,7.6,,
PG16,FE_N133Q,16.233,,
PG16,FE_N142Q,16.35,,
PG16,FE_N289D,0.731,,
PG16,FE_N301Q,14.884,,
PG16,FE_N339Q,14.644,,
PG16,FE_N355Q,15.25,,
PG16,FE_N392Q,14.064,,
PG16,FE_N408Q,16.512,,
PG16,FE_N411Q,14.783,,
PG16,FE_N442Q,16.111,,
PG16,FE_N448Q,13.386,,
PG16,FE_N463Q,16.333,,
PG16,FE_N466Q,16.378,,
PG16,FE_N611Q,15.83,,
PG16,FE_N625Q,16.45,,
PG16,FE_N637Q,13.411,,
PG16,FE_N88D,12.847,,
PG16,GX11_13,1.01,,
PG16,GX13_7,1.94,,
PG16,GX142_2,0.98,,
PG16,GX155_55,0.84,,
PG16,GX2010_36,1.65,,
PG16,GX24_8,4.28,,
PG16,GX25_29,2.42,,
PG16,GX28_31,0.31,,
PG16,GX33M_25,0.15,,
PG16,GX34_21,0.54,,
PG16,GX35_33,1.64,,
PG16,GX43_2,4.61,,
PG16,GX45_57,0.02,,
PG16,GX54_6,2.59,,
PG16,GX68_5,0.45,,
PG16,GX71_18,1.88,,
PG16,GX72_27,3.12,,
PG16,GX73_29,2.48,,
PG16,GX74_20,0.63,,
PG16,GX75_20,4.26,,
PG16,GX79_7,0.04,,
PG16,GX81_43,1,,
PG16,GX83_47,2.49,,
PG16,GX84_59,3.14,,
PG16,GX88_47,0.27,,
PG16,GX8C_31,0.89,,
PG16,GX90_1,1.63,,
PG16,GX91_2,0.4,,
PG16,GX93_8,0.12,,
PG16,GZ187_10,2.6,,
PG16,GZ30_6,5.09,,
PG16,GZ36_5,0.13,,
PG16,GZ38_2,0.77,,
PG16,H086_8,0.005,,
PG16,H086_8,0.005,,
PG16,H086_8,0.001,,
PG16,H086_8,0.001,0.02,
PG16,H086_8,0.001,0.02,
PG16,H086_8,0.001,0.02,
PG16,H086_8,0.005,0.051,
PG16,HB5_3,0.06,,
PG16,HEB46_6,0.82,,
PG16,HEB5_10,6.26,,
PG16,HN18A_41,5.86,,
PG16,HN6A_40,9.93,,
PG16,HT593_1,0.15,,
PG16,HT593_1,0.15,,
PG16,HT593_1,0.153,,
PG16,HT593_1,0.153,13.7,
PG16,HT593_1,0.153,,
PG16,HT593_1,0.056,,
PG16,HT593_1,0.153,13.7,
PG16,HT593_1,0.153,13.7,
PG16,HT593_1,0.15,11.9,
PG16,HUB199_1,1.82,,
PG16,HXB2,54,,
PG16,HXB2,54,,
PG16,HXB2,13.9,,
PG16,JRCSF,0.002,,
PG16,JRCSF,0.003,,
PG16,JRCSF,0.003,,
PG16,JRCSF,0.002,,
PG16,JRCSF,0.002,0.015,
PG16,JRCSF,0.001709,,
PG16,JRCSF,0.001,,
PG16,JRCSF,0.004,,
PG16,JRCSF,0.002,,
PG16,JRCSF,0.001,,
PG16,JRCSF,0.002,0.015,
PG16,JRCSF,0.00009,,
PG16,JRCSF,0.002,0.015,
PG16,JRCSF,0.002,,
PG16,JRCSF,0.003,0.076,
PG16,JRCSF,0.0007,,
PG16,JRCSF,0.001,,
PG16,JRCSF,0.001,,
PG16,JRCSF,0.001,,
PG16,JRCSF_G324A,0.000637,,
PG16,JRCSF_I309A,0.000525,,
PG16,JRCSF_I323A,0.004186,,
PG16,JRCSF_I420A,0.1311,,
PG16,JRCSF_I423A,0.07847,,
PG16,JRCSF_I424A,0.00309,,
PG16,JRCSF_K305A,0.0185,,
PG16,JRCSF_K421A,0.01732,,
PG16,JRCSF_L125A,0.001325,,
PG16,JRCSF_N156A,13.36,,
PG16,JRCSF_N197K,0.002451,,
PG16,JRCSF_N301A,0.000379,,
PG16,JRCSF_S199A,0.001885,,
PG16,JRCSF_T202A,0.001597,,
PG16,JRCSF_T303A,0.001345,,
PG16,JRCSF_Y177A,0.005043,,
PG16,JRCSF_Y318A,0.004887,,
PG16,JRCSF_Y435A,0.000543,,
PG16,JRFL_E168K,0.01,,
PG16,KER2008_12,0.002,,
PG16,KER2008_12,0.002,,
PG16,KER2008_12,0.006,,
PG16,KER2008_12,0.006,0.046,
PG16,KER2008_12,0.004,,
PG16,KER2008_12,0.006,,
PG16,KER2008_12,0.008,,
PG16,KER2008_12,0.006,0.046,
PG16,KER2008_12,0.006,0.046,
PG16,KER2008_12,0.004,,
PG16,KER2008_12,0.002,0.016,
PG16,KER2018_11,0.001,,
PG16,KER2018_11,0.001,,
PG16,KER2018_11,0.001,,
PG16,KER2018_11,0.001527307,,
PG16,KER2018_11,0.0006,,
PG16,KER2018_11,0.004,,
PG16,KER2018_11,0.001,0.002,
PG16,KER2018_11,0.001,0.004,
PG16,KER2018_11,0.0015,,
PG16,KNH1144,1.2,,
PG16,KNH1209_18,0.421,,
PG16,KNH1209_18,0.421,,
PG16,KNH1209_18,0.678,,
PG16,KNH1209_18,0.678,>50,
PG16,KNH1209_18,0.678,,
PG16,KNH1209_18,0.283,,
PG16,KNH1209_18,0.678,>50,
PG16,KNH1209_18,0.678,>50,
PG16,KNH1209_18,0.421,>50,
PG16,LAI,2.05,,
PG16,M02138,0.05,,
PG16,M02138,0.05,,
PG16,M02138,0.022,,
PG16,M02138,0.022,0.81,
PG16,M02138,0.022,,
PG16,M02138,0.02,,
PG16,M02138,0.022,0.81,
PG16,M02138,0.022,0.81,
PG16,M02138,0.05,1,
PG16,MB201_A1,0.021,,
PG16,MB201_A1,0.021,,
PG16,MB201_A1,0.001,,
PG16,MB201_A1,0.001,0.019,
PG16,MB201_A1,0.01,,
PG16,MB201_A1,0.001,,
PG16,MB201_A1,0.021,,
PG16,MB201_A1,0.001,0.019,
PG16,MB201_A1,0.001,0.019,
PG16,MB201_A1,0.021,0.224,
PG16,MB539_2B7,0.01,,
PG16,MB539_2B7,0.01,,
PG16,MB539_2B7,0.025,,
PG16,MB539_2B7,0.025,0.205,
PG16,MB539_2B7,0.02,,
PG16,MB539_2B7,0.025,,
PG16,MB539_2B7,0.032,,
PG16,MB539_2B7,0.025,0.205,
PG16,MB539_2B7,0.025,0.205,
PG16,MB539_2B7,0.01,0.15,
PG16,MG505_W0M_A2,0.02818015,,
PG16,MG505_W0M_A2,0.0282,,
PG16,MGRM_AG_002,0.03,,
PG16,MI369_A5,0.008,,
PG16,MI369_A5,0.008,,
PG16,MI369_A5,0.011,,
PG16,MI369_A5,0.011,0.082,
PG16,MI369_A5,0.011,,
PG16,MI369_A5,0.012,,
PG16,MI369_A5,0.011,0.082,
PG16,MI369_A5,0.011,0.082,
PG16,MI369_A5,0.008,0.3,
PG16,MN_3,83,,
PG16,MN_3,83,,
PG16,MS208_A1,0.002,,
PG16,MS208_A1,0.03,,
PG16,MS208_A1,0.03,,
PG16,MS208_A1,0.002,,
PG16,MS208_A1,0.047,,
PG16,MS208_A1,0.047,31.8,
PG16,MS208_A1,0.047,,
PG16,MS208_A1,0.008,,
PG16,MS208_A1,0.047,31.8,
PG16,MS208_A1,0.014,,
PG16,MS208_A1,0.047,31.8,
PG16,MS208_A1,0.03,>50,
PG16,MS208_A3,0.006,0.02,
PG16,MUW100708A_EC02,0.03,,
PG16,MUW100708A_EC03,0.03,,
PG16,MUW100708A_EC08,0.05,,
PG16,MUW100708A_EC09,24.23,,
PG16,MUW101091A_EC01,2.93,,
PG16,MUW101091A_EC10,3.30,,
PG16,MUW101273A_EC05,0.58,,
PG16,MUW101273A_ECRH,15.27,,
PG16,MUW104349A_EC04,0.05,,
PG16,MUW104349A_ECRH,9.17,,
PG16,MW965_26,0.123,,
PG16,MW965_26,0.123,,
PG16,MW965_26,0.961,,
PG16,MW965_26,0.961,>50,
PG16,MW965_26,0.961,,
PG16,MW965_26,0.476,,
PG16,MW965_26,0.961,>50,
PG16,MW965_26,0.961,>50,
PG16,MW965_26,0.123,>50,
PG16,NAB13PRE_CL_9,1.4964575,,
PG16,NAB13PRE_CL_9,1.5,,
PG16,NAB13PRE_CL_9,7.98,,
PG16,NAB9PRE_CL_106,18.55381,,
PG16,NAB9PRE_CL_106,18.6,,
PG16,NL43,0.047,,
PG16,NL43,0.017,,
